"","x"
"59","audspecRasta_lengthL1norm_sma_leftctime"
"60","audspecRasta_lengthL1norm_sma_lpgain"
"61","audspecRasta_lengthL1norm_sma_lpc0"
"62","audspecRasta_lengthL1norm_sma_lpc1"
"63","audspecRasta_lengthL1norm_sma_lpc2"
"64","audspecRasta_lengthL1norm_sma_lpc3"
"65","audspecRasta_lengthL1norm_sma_lpc4"
"66","pcm_RMSenergy_sma_range"
"67","pcm_RMSenergy_sma_maxPos"
"68","pcm_RMSenergy_sma_minPos"
"69","pcm_RMSenergy_sma_quartile1"
"70","pcm_RMSenergy_sma_quartile2"
"71","pcm_RMSenergy_sma_quartile3"
"72","pcm_RMSenergy_sma_iqr1.2"
"73","pcm_RMSenergy_sma_iqr2.3"
"74","pcm_RMSenergy_sma_iqr1.3"
"75","pcm_RMSenergy_sma_percentile1.0"
"76","pcm_RMSenergy_sma_percentile99.0"
"77","pcm_RMSenergy_sma_pctlrange0.1"
"78","pcm_RMSenergy_sma_stddev"
"79","pcm_RMSenergy_sma_skewness"
"80","pcm_RMSenergy_sma_kurtosis"
"81","pcm_RMSenergy_sma_meanSegLen"
"82","pcm_RMSenergy_sma_maxSegLen"
"83","pcm_RMSenergy_sma_minSegLen"
"84","pcm_RMSenergy_sma_segLenStddev"
"85","pcm_RMSenergy_sma_upleveltime25"
"86","pcm_RMSenergy_sma_upleveltime50"
"87","pcm_RMSenergy_sma_upleveltime75"
"88","pcm_RMSenergy_sma_upleveltime90"
"89","pcm_RMSenergy_sma_risetime"
"90","pcm_RMSenergy_sma_leftctime"
"91","pcm_RMSenergy_sma_lpgain"
"92","pcm_RMSenergy_sma_lpc0"
"93","pcm_RMSenergy_sma_lpc1"
"94","pcm_RMSenergy_sma_lpc2"
"95","pcm_RMSenergy_sma_lpc3"
"96","pcm_RMSenergy_sma_lpc4"
"97","pcm_zcr_sma_range"
"98","pcm_zcr_sma_maxPos"
"99","pcm_zcr_sma_minPos"
"100","pcm_zcr_sma_quartile1"
"101","pcm_zcr_sma_quartile2"
"102","pcm_zcr_sma_quartile3"
"103","pcm_zcr_sma_iqr1.2"
"104","pcm_zcr_sma_iqr2.3"
"105","pcm_zcr_sma_iqr1.3"
"106","pcm_zcr_sma_percentile1.0"
"107","pcm_zcr_sma_percentile99.0"
"108","pcm_zcr_sma_pctlrange0.1"
"109","pcm_zcr_sma_stddev"
"110","pcm_zcr_sma_skewness"
"111","pcm_zcr_sma_kurtosis"
"112","pcm_zcr_sma_meanSegLen"
"113","pcm_zcr_sma_maxSegLen"
"114","pcm_zcr_sma_minSegLen"
"115","pcm_zcr_sma_segLenStddev"
"116","pcm_zcr_sma_upleveltime25"
"117","pcm_zcr_sma_upleveltime50"
"118","pcm_zcr_sma_upleveltime75"
"119","pcm_zcr_sma_upleveltime90"
"120","pcm_zcr_sma_risetime"
"121","pcm_zcr_sma_leftctime"
"122","pcm_zcr_sma_lpgain"
"123","pcm_zcr_sma_lpc0"
"124","pcm_zcr_sma_lpc1"
"125","pcm_zcr_sma_lpc2"
"126","pcm_zcr_sma_lpc3"
"127","pcm_zcr_sma_lpc4"
"128","audspec_lengthL1norm_sma_de_range"
"129","audspec_lengthL1norm_sma_de_maxPos"
"130","audspec_lengthL1norm_sma_de_minPos"
"131","audspec_lengthL1norm_sma_de_quartile1"
"132","audspec_lengthL1norm_sma_de_quartile2"
"133","audspec_lengthL1norm_sma_de_quartile3"
"134","audspec_lengthL1norm_sma_de_iqr1.2"
"135","audspec_lengthL1norm_sma_de_iqr2.3"
"136","audspec_lengthL1norm_sma_de_iqr1.3"
"137","audspec_lengthL1norm_sma_de_percentile1.0"
"138","audspec_lengthL1norm_sma_de_percentile99.0"
"139","audspec_lengthL1norm_sma_de_pctlrange0.1"
"140","audspec_lengthL1norm_sma_de_stddev"
"141","audspec_lengthL1norm_sma_de_skewness"
"142","audspec_lengthL1norm_sma_de_kurtosis"
"143","audspec_lengthL1norm_sma_de_meanSegLen"
"144","audspec_lengthL1norm_sma_de_maxSegLen"
"145","audspec_lengthL1norm_sma_de_minSegLen"
"146","audspec_lengthL1norm_sma_de_segLenStddev"
"147","audspec_lengthL1norm_sma_de_upleveltime25"
"148","audspec_lengthL1norm_sma_de_upleveltime50"
"149","audspec_lengthL1norm_sma_de_upleveltime75"
"150","audspec_lengthL1norm_sma_de_upleveltime90"
"151","audspec_lengthL1norm_sma_de_risetime"
"152","audspec_lengthL1norm_sma_de_leftctime"
"153","audspec_lengthL1norm_sma_de_lpgain"
"154","audspec_lengthL1norm_sma_de_lpc0"
"155","audspec_lengthL1norm_sma_de_lpc1"
"156","audspec_lengthL1norm_sma_de_lpc2"
"157","audspec_lengthL1norm_sma_de_lpc3"
"158","audspec_lengthL1norm_sma_de_lpc4"
"159","audspecRasta_lengthL1norm_sma_de_range"
"160","audspecRasta_lengthL1norm_sma_de_maxPos"
"161","audspecRasta_lengthL1norm_sma_de_minPos"
"162","audspecRasta_lengthL1norm_sma_de_quartile1"
"163","audspecRasta_lengthL1norm_sma_de_quartile2"
"164","audspecRasta_lengthL1norm_sma_de_quartile3"
"165","audspecRasta_lengthL1norm_sma_de_iqr1.2"
"166","audspecRasta_lengthL1norm_sma_de_iqr2.3"
"167","audspecRasta_lengthL1norm_sma_de_iqr1.3"
"168","audspecRasta_lengthL1norm_sma_de_percentile1.0"
"169","audspecRasta_lengthL1norm_sma_de_percentile99.0"
"170","audspecRasta_lengthL1norm_sma_de_pctlrange0.1"
"171","audspecRasta_lengthL1norm_sma_de_stddev"
"172","audspecRasta_lengthL1norm_sma_de_skewness"
"173","audspecRasta_lengthL1norm_sma_de_kurtosis"
"174","audspecRasta_lengthL1norm_sma_de_meanSegLen"
"175","audspecRasta_lengthL1norm_sma_de_maxSegLen"
"176","audspecRasta_lengthL1norm_sma_de_minSegLen"
"177","audspecRasta_lengthL1norm_sma_de_segLenStddev"
"178","audspecRasta_lengthL1norm_sma_de_upleveltime25"
"179","audspecRasta_lengthL1norm_sma_de_upleveltime50"
"180","audspecRasta_lengthL1norm_sma_de_upleveltime75"
"181","audspecRasta_lengthL1norm_sma_de_upleveltime90"
"182","audspecRasta_lengthL1norm_sma_de_risetime"
"183","audspecRasta_lengthL1norm_sma_de_leftctime"
"184","audspecRasta_lengthL1norm_sma_de_lpgain"
"185","audspecRasta_lengthL1norm_sma_de_lpc0"
"186","audspecRasta_lengthL1norm_sma_de_lpc1"
"187","audspecRasta_lengthL1norm_sma_de_lpc2"
"188","audspecRasta_lengthL1norm_sma_de_lpc3"
"189","audspecRasta_lengthL1norm_sma_de_lpc4"
"190","pcm_RMSenergy_sma_de_range"
"191","pcm_RMSenergy_sma_de_maxPos"
"192","pcm_RMSenergy_sma_de_minPos"
"193","pcm_RMSenergy_sma_de_quartile1"
"194","pcm_RMSenergy_sma_de_quartile2"
"195","pcm_RMSenergy_sma_de_quartile3"
"196","pcm_RMSenergy_sma_de_iqr1.2"
"197","pcm_RMSenergy_sma_de_iqr2.3"
"198","pcm_RMSenergy_sma_de_iqr1.3"
"199","pcm_RMSenergy_sma_de_percentile1.0"
"200","pcm_RMSenergy_sma_de_percentile99.0"
"201","pcm_RMSenergy_sma_de_pctlrange0.1"
"202","pcm_RMSenergy_sma_de_stddev"
"203","pcm_RMSenergy_sma_de_skewness"
"204","pcm_RMSenergy_sma_de_kurtosis"
"205","pcm_RMSenergy_sma_de_meanSegLen"
"206","pcm_RMSenergy_sma_de_maxSegLen"
"207","pcm_RMSenergy_sma_de_minSegLen"
"208","pcm_RMSenergy_sma_de_segLenStddev"
"209","pcm_RMSenergy_sma_de_upleveltime25"
"210","pcm_RMSenergy_sma_de_upleveltime50"
"211","pcm_RMSenergy_sma_de_upleveltime75"
"212","pcm_RMSenergy_sma_de_upleveltime90"
"213","pcm_RMSenergy_sma_de_risetime"
"214","pcm_RMSenergy_sma_de_leftctime"
"215","pcm_RMSenergy_sma_de_lpgain"
"216","pcm_RMSenergy_sma_de_lpc0"
"217","pcm_RMSenergy_sma_de_lpc1"
"218","pcm_RMSenergy_sma_de_lpc2"
"219","pcm_RMSenergy_sma_de_lpc3"
"220","pcm_RMSenergy_sma_de_lpc4"
"221","pcm_zcr_sma_de_range"
"222","pcm_zcr_sma_de_maxPos"
"223","pcm_zcr_sma_de_minPos"
"224","pcm_zcr_sma_de_quartile1"
"225","pcm_zcr_sma_de_quartile2"
"226","pcm_zcr_sma_de_quartile3"
"227","pcm_zcr_sma_de_iqr1.2"
"228","pcm_zcr_sma_de_iqr2.3"
"229","pcm_zcr_sma_de_iqr1.3"
"230","pcm_zcr_sma_de_percentile1.0"
"231","pcm_zcr_sma_de_percentile99.0"
"232","pcm_zcr_sma_de_pctlrange0.1"
"233","pcm_zcr_sma_de_stddev"
"234","pcm_zcr_sma_de_skewness"
"235","pcm_zcr_sma_de_kurtosis"
"236","pcm_zcr_sma_de_meanSegLen"
"237","pcm_zcr_sma_de_maxSegLen"
"238","pcm_zcr_sma_de_minSegLen"
"239","pcm_zcr_sma_de_segLenStddev"
"240","pcm_zcr_sma_de_upleveltime25"
"241","pcm_zcr_sma_de_upleveltime50"
"242","pcm_zcr_sma_de_upleveltime75"
"243","pcm_zcr_sma_de_upleveltime90"
"244","pcm_zcr_sma_de_risetime"
"245","pcm_zcr_sma_de_leftctime"
"246","pcm_zcr_sma_de_lpgain"
"247","pcm_zcr_sma_de_lpc0"
"248","pcm_zcr_sma_de_lpc1"
"249","pcm_zcr_sma_de_lpc2"
"250","pcm_zcr_sma_de_lpc3"
"251","pcm_zcr_sma_de_lpc4"
"252","audSpec_Rfilt_sma.0._range"
"253","audSpec_Rfilt_sma.0._maxPos"
"254","audSpec_Rfilt_sma.0._minPos"
"255","audSpec_Rfilt_sma.0._quartile1"
"256","audSpec_Rfilt_sma.0._quartile2"
"257","audSpec_Rfilt_sma.0._quartile3"
"258","audSpec_Rfilt_sma.0._iqr1.2"
"259","audSpec_Rfilt_sma.0._iqr2.3"
"260","audSpec_Rfilt_sma.0._iqr1.3"
"261","audSpec_Rfilt_sma.0._percentile1.0"
"262","audSpec_Rfilt_sma.0._percentile99.0"
"263","audSpec_Rfilt_sma.0._pctlrange0.1"
"264","audSpec_Rfilt_sma.0._stddev"
"265","audSpec_Rfilt_sma.0._skewness"
"266","audSpec_Rfilt_sma.0._kurtosis"
"267","audSpec_Rfilt_sma.0._meanSegLen"
"268","audSpec_Rfilt_sma.0._maxSegLen"
"269","audSpec_Rfilt_sma.0._minSegLen"
"270","audSpec_Rfilt_sma.0._segLenStddev"
"271","audSpec_Rfilt_sma.0._upleveltime25"
"272","audSpec_Rfilt_sma.0._upleveltime50"
"273","audSpec_Rfilt_sma.0._upleveltime75"
"274","audSpec_Rfilt_sma.0._upleveltime90"
"275","audSpec_Rfilt_sma.0._risetime"
"276","audSpec_Rfilt_sma.0._leftctime"
"277","audSpec_Rfilt_sma.0._lpgain"
"278","audSpec_Rfilt_sma.0._lpc0"
"279","audSpec_Rfilt_sma.0._lpc1"
"280","audSpec_Rfilt_sma.0._lpc2"
"281","audSpec_Rfilt_sma.0._lpc3"
"282","audSpec_Rfilt_sma.0._lpc4"
"283","audSpec_Rfilt_sma.1._range"
"284","audSpec_Rfilt_sma.1._maxPos"
"285","audSpec_Rfilt_sma.1._minPos"
"286","audSpec_Rfilt_sma.1._quartile1"
"287","audSpec_Rfilt_sma.1._quartile2"
"288","audSpec_Rfilt_sma.1._quartile3"
"289","audSpec_Rfilt_sma.1._iqr1.2"
"290","audSpec_Rfilt_sma.1._iqr2.3"
"291","audSpec_Rfilt_sma.1._iqr1.3"
"292","audSpec_Rfilt_sma.1._percentile1.0"
"293","audSpec_Rfilt_sma.1._percentile99.0"
"294","audSpec_Rfilt_sma.1._pctlrange0.1"
"295","audSpec_Rfilt_sma.1._stddev"
"296","audSpec_Rfilt_sma.1._skewness"
"297","audSpec_Rfilt_sma.1._kurtosis"
"298","audSpec_Rfilt_sma.1._meanSegLen"
"299","audSpec_Rfilt_sma.1._maxSegLen"
"300","audSpec_Rfilt_sma.1._minSegLen"
"301","audSpec_Rfilt_sma.1._segLenStddev"
"302","audSpec_Rfilt_sma.1._upleveltime25"
"303","audSpec_Rfilt_sma.1._upleveltime50"
"304","audSpec_Rfilt_sma.1._upleveltime75"
"305","audSpec_Rfilt_sma.1._upleveltime90"
"306","audSpec_Rfilt_sma.1._risetime"
"307","audSpec_Rfilt_sma.1._leftctime"
"308","audSpec_Rfilt_sma.1._lpgain"
"309","audSpec_Rfilt_sma.1._lpc0"
"310","audSpec_Rfilt_sma.1._lpc1"
"311","audSpec_Rfilt_sma.1._lpc2"
"312","audSpec_Rfilt_sma.1._lpc3"
"313","audSpec_Rfilt_sma.1._lpc4"
"314","audSpec_Rfilt_sma.2._range"
"315","audSpec_Rfilt_sma.2._maxPos"
"316","audSpec_Rfilt_sma.2._minPos"
"317","audSpec_Rfilt_sma.2._quartile1"
"318","audSpec_Rfilt_sma.2._quartile2"
"319","audSpec_Rfilt_sma.2._quartile3"
"320","audSpec_Rfilt_sma.2._iqr1.2"
"321","audSpec_Rfilt_sma.2._iqr2.3"
"322","audSpec_Rfilt_sma.2._iqr1.3"
"323","audSpec_Rfilt_sma.2._percentile1.0"
"324","audSpec_Rfilt_sma.2._percentile99.0"
"325","audSpec_Rfilt_sma.2._pctlrange0.1"
"326","audSpec_Rfilt_sma.2._stddev"
"327","audSpec_Rfilt_sma.2._skewness"
"328","audSpec_Rfilt_sma.2._kurtosis"
"329","audSpec_Rfilt_sma.2._meanSegLen"
"330","audSpec_Rfilt_sma.2._maxSegLen"
"331","audSpec_Rfilt_sma.2._minSegLen"
"332","audSpec_Rfilt_sma.2._segLenStddev"
"333","audSpec_Rfilt_sma.2._upleveltime25"
"334","audSpec_Rfilt_sma.2._upleveltime50"
"335","audSpec_Rfilt_sma.2._upleveltime75"
"336","audSpec_Rfilt_sma.2._upleveltime90"
"337","audSpec_Rfilt_sma.2._risetime"
"338","audSpec_Rfilt_sma.2._leftctime"
"339","audSpec_Rfilt_sma.2._lpgain"
"340","audSpec_Rfilt_sma.2._lpc0"
"341","audSpec_Rfilt_sma.2._lpc1"
"342","audSpec_Rfilt_sma.2._lpc2"
"343","audSpec_Rfilt_sma.2._lpc3"
"344","audSpec_Rfilt_sma.2._lpc4"
"345","audSpec_Rfilt_sma.3._range"
"346","audSpec_Rfilt_sma.3._maxPos"
"347","audSpec_Rfilt_sma.3._minPos"
"348","audSpec_Rfilt_sma.3._quartile1"
"349","audSpec_Rfilt_sma.3._quartile2"
"350","audSpec_Rfilt_sma.3._quartile3"
"351","audSpec_Rfilt_sma.3._iqr1.2"
"352","audSpec_Rfilt_sma.3._iqr2.3"
"353","audSpec_Rfilt_sma.3._iqr1.3"
"354","audSpec_Rfilt_sma.3._percentile1.0"
"355","audSpec_Rfilt_sma.3._percentile99.0"
"356","audSpec_Rfilt_sma.3._pctlrange0.1"
"357","audSpec_Rfilt_sma.3._stddev"
"358","audSpec_Rfilt_sma.3._skewness"
"359","audSpec_Rfilt_sma.3._kurtosis"
"360","audSpec_Rfilt_sma.3._meanSegLen"
"361","audSpec_Rfilt_sma.3._maxSegLen"
"362","audSpec_Rfilt_sma.3._minSegLen"
"363","audSpec_Rfilt_sma.3._segLenStddev"
"364","audSpec_Rfilt_sma.3._upleveltime25"
"365","audSpec_Rfilt_sma.3._upleveltime50"
"366","audSpec_Rfilt_sma.3._upleveltime75"
"367","audSpec_Rfilt_sma.3._upleveltime90"
"368","audSpec_Rfilt_sma.3._risetime"
"369","audSpec_Rfilt_sma.3._leftctime"
"370","audSpec_Rfilt_sma.3._lpgain"
"371","audSpec_Rfilt_sma.3._lpc0"
"372","audSpec_Rfilt_sma.3._lpc1"
"373","audSpec_Rfilt_sma.3._lpc2"
"374","audSpec_Rfilt_sma.3._lpc3"
"375","audSpec_Rfilt_sma.3._lpc4"
"376","audSpec_Rfilt_sma.4._range"
"377","audSpec_Rfilt_sma.4._maxPos"
"378","audSpec_Rfilt_sma.4._minPos"
"379","audSpec_Rfilt_sma.4._quartile1"
"380","audSpec_Rfilt_sma.4._quartile2"
"381","audSpec_Rfilt_sma.4._quartile3"
"382","audSpec_Rfilt_sma.4._iqr1.2"
"383","audSpec_Rfilt_sma.4._iqr2.3"
"384","audSpec_Rfilt_sma.4._iqr1.3"
"385","audSpec_Rfilt_sma.4._percentile1.0"
"386","audSpec_Rfilt_sma.4._percentile99.0"
"387","audSpec_Rfilt_sma.4._pctlrange0.1"
"388","audSpec_Rfilt_sma.4._stddev"
"389","audSpec_Rfilt_sma.4._skewness"
"390","audSpec_Rfilt_sma.4._kurtosis"
"391","audSpec_Rfilt_sma.4._meanSegLen"
"392","audSpec_Rfilt_sma.4._maxSegLen"
"393","audSpec_Rfilt_sma.4._minSegLen"
"394","audSpec_Rfilt_sma.4._segLenStddev"
"395","audSpec_Rfilt_sma.4._upleveltime25"
"396","audSpec_Rfilt_sma.4._upleveltime50"
"397","audSpec_Rfilt_sma.4._upleveltime75"
"398","audSpec_Rfilt_sma.4._upleveltime90"
"399","audSpec_Rfilt_sma.4._risetime"
"400","audSpec_Rfilt_sma.4._leftctime"
"401","audSpec_Rfilt_sma.4._lpgain"
"402","audSpec_Rfilt_sma.4._lpc0"
"403","audSpec_Rfilt_sma.4._lpc1"
"404","audSpec_Rfilt_sma.4._lpc2"
"405","audSpec_Rfilt_sma.4._lpc3"
"406","audSpec_Rfilt_sma.4._lpc4"
"407","audSpec_Rfilt_sma.5._range"
"408","audSpec_Rfilt_sma.5._maxPos"
"409","audSpec_Rfilt_sma.5._minPos"
"410","audSpec_Rfilt_sma.5._quartile1"
"411","audSpec_Rfilt_sma.5._quartile2"
"412","audSpec_Rfilt_sma.5._quartile3"
"413","audSpec_Rfilt_sma.5._iqr1.2"
"414","audSpec_Rfilt_sma.5._iqr2.3"
"415","audSpec_Rfilt_sma.5._iqr1.3"
"416","audSpec_Rfilt_sma.5._percentile1.0"
"417","audSpec_Rfilt_sma.5._percentile99.0"
"418","audSpec_Rfilt_sma.5._pctlrange0.1"
"419","audSpec_Rfilt_sma.5._stddev"
"420","audSpec_Rfilt_sma.5._skewness"
"421","audSpec_Rfilt_sma.5._kurtosis"
"422","audSpec_Rfilt_sma.5._meanSegLen"
"423","audSpec_Rfilt_sma.5._maxSegLen"
"424","audSpec_Rfilt_sma.5._minSegLen"
"425","audSpec_Rfilt_sma.5._segLenStddev"
"426","audSpec_Rfilt_sma.5._upleveltime25"
"427","audSpec_Rfilt_sma.5._upleveltime50"
"428","audSpec_Rfilt_sma.5._upleveltime75"
"429","audSpec_Rfilt_sma.5._upleveltime90"
"430","audSpec_Rfilt_sma.5._risetime"
"431","audSpec_Rfilt_sma.5._leftctime"
"432","audSpec_Rfilt_sma.5._lpgain"
"433","audSpec_Rfilt_sma.5._lpc0"
"434","audSpec_Rfilt_sma.5._lpc1"
"435","audSpec_Rfilt_sma.5._lpc2"
"436","audSpec_Rfilt_sma.5._lpc3"
"437","audSpec_Rfilt_sma.5._lpc4"
"438","audSpec_Rfilt_sma.6._range"
"439","audSpec_Rfilt_sma.6._maxPos"
"440","audSpec_Rfilt_sma.6._minPos"
"441","audSpec_Rfilt_sma.6._quartile1"
"442","audSpec_Rfilt_sma.6._quartile2"
"443","audSpec_Rfilt_sma.6._quartile3"
"444","audSpec_Rfilt_sma.6._iqr1.2"
"445","audSpec_Rfilt_sma.6._iqr2.3"
"446","audSpec_Rfilt_sma.6._iqr1.3"
"447","audSpec_Rfilt_sma.6._percentile1.0"
"448","audSpec_Rfilt_sma.6._percentile99.0"
"449","audSpec_Rfilt_sma.6._pctlrange0.1"
"450","audSpec_Rfilt_sma.6._stddev"
"451","audSpec_Rfilt_sma.6._skewness"
"452","audSpec_Rfilt_sma.6._kurtosis"
"453","audSpec_Rfilt_sma.6._meanSegLen"
"454","audSpec_Rfilt_sma.6._maxSegLen"
"455","audSpec_Rfilt_sma.6._minSegLen"
"456","audSpec_Rfilt_sma.6._segLenStddev"
"457","audSpec_Rfilt_sma.6._upleveltime25"
"458","audSpec_Rfilt_sma.6._upleveltime50"
"459","audSpec_Rfilt_sma.6._upleveltime75"
"460","audSpec_Rfilt_sma.6._upleveltime90"
"461","audSpec_Rfilt_sma.6._risetime"
"462","audSpec_Rfilt_sma.6._leftctime"
"463","audSpec_Rfilt_sma.6._lpgain"
"464","audSpec_Rfilt_sma.6._lpc0"
"465","audSpec_Rfilt_sma.6._lpc1"
"466","audSpec_Rfilt_sma.6._lpc2"
"467","audSpec_Rfilt_sma.6._lpc3"
"468","audSpec_Rfilt_sma.6._lpc4"
"469","audSpec_Rfilt_sma.7._range"
"470","audSpec_Rfilt_sma.7._maxPos"
"471","audSpec_Rfilt_sma.7._minPos"
"472","audSpec_Rfilt_sma.7._quartile1"
"473","audSpec_Rfilt_sma.7._quartile2"
"474","audSpec_Rfilt_sma.7._quartile3"
"475","audSpec_Rfilt_sma.7._iqr1.2"
"476","audSpec_Rfilt_sma.7._iqr2.3"
"477","audSpec_Rfilt_sma.7._iqr1.3"
"478","audSpec_Rfilt_sma.7._percentile1.0"
"479","audSpec_Rfilt_sma.7._percentile99.0"
"480","audSpec_Rfilt_sma.7._pctlrange0.1"
"481","audSpec_Rfilt_sma.7._stddev"
"482","audSpec_Rfilt_sma.7._skewness"
"483","audSpec_Rfilt_sma.7._kurtosis"
"484","audSpec_Rfilt_sma.7._meanSegLen"
"485","audSpec_Rfilt_sma.7._maxSegLen"
"486","audSpec_Rfilt_sma.7._minSegLen"
"487","audSpec_Rfilt_sma.7._segLenStddev"
"488","audSpec_Rfilt_sma.7._upleveltime25"
"489","audSpec_Rfilt_sma.7._upleveltime50"
"490","audSpec_Rfilt_sma.7._upleveltime75"
"491","audSpec_Rfilt_sma.7._upleveltime90"
"492","audSpec_Rfilt_sma.7._risetime"
"493","audSpec_Rfilt_sma.7._leftctime"
"494","audSpec_Rfilt_sma.7._lpgain"
"495","audSpec_Rfilt_sma.7._lpc0"
"496","audSpec_Rfilt_sma.7._lpc1"
"497","audSpec_Rfilt_sma.7._lpc2"
"498","audSpec_Rfilt_sma.7._lpc3"
"499","audSpec_Rfilt_sma.7._lpc4"
"500","audSpec_Rfilt_sma.8._range"
"501","audSpec_Rfilt_sma.8._maxPos"
"502","audSpec_Rfilt_sma.8._minPos"
"503","audSpec_Rfilt_sma.8._quartile1"
"504","audSpec_Rfilt_sma.8._quartile2"
"505","audSpec_Rfilt_sma.8._quartile3"
"506","audSpec_Rfilt_sma.8._iqr1.2"
"507","audSpec_Rfilt_sma.8._iqr2.3"
"508","audSpec_Rfilt_sma.8._iqr1.3"
"509","audSpec_Rfilt_sma.8._percentile1.0"
"510","audSpec_Rfilt_sma.8._percentile99.0"
"511","audSpec_Rfilt_sma.8._pctlrange0.1"
"512","audSpec_Rfilt_sma.8._stddev"
"513","audSpec_Rfilt_sma.8._skewness"
"514","audSpec_Rfilt_sma.8._kurtosis"
"515","audSpec_Rfilt_sma.8._meanSegLen"
"516","audSpec_Rfilt_sma.8._maxSegLen"
"517","audSpec_Rfilt_sma.8._minSegLen"
"518","audSpec_Rfilt_sma.8._segLenStddev"
"519","audSpec_Rfilt_sma.8._upleveltime25"
"520","audSpec_Rfilt_sma.8._upleveltime50"
"521","audSpec_Rfilt_sma.8._upleveltime75"
"522","audSpec_Rfilt_sma.8._upleveltime90"
"523","audSpec_Rfilt_sma.8._risetime"
"524","audSpec_Rfilt_sma.8._leftctime"
"525","audSpec_Rfilt_sma.8._lpgain"
"526","audSpec_Rfilt_sma.8._lpc0"
"527","audSpec_Rfilt_sma.8._lpc1"
"528","audSpec_Rfilt_sma.8._lpc2"
"529","audSpec_Rfilt_sma.8._lpc3"
"530","audSpec_Rfilt_sma.8._lpc4"
"531","audSpec_Rfilt_sma.9._range"
"532","audSpec_Rfilt_sma.9._maxPos"
"533","audSpec_Rfilt_sma.9._minPos"
"534","audSpec_Rfilt_sma.9._quartile1"
"535","audSpec_Rfilt_sma.9._quartile2"
"536","audSpec_Rfilt_sma.9._quartile3"
"537","audSpec_Rfilt_sma.9._iqr1.2"
"538","audSpec_Rfilt_sma.9._iqr2.3"
"539","audSpec_Rfilt_sma.9._iqr1.3"
"540","audSpec_Rfilt_sma.9._percentile1.0"
"541","audSpec_Rfilt_sma.9._percentile99.0"
"542","audSpec_Rfilt_sma.9._pctlrange0.1"
"543","audSpec_Rfilt_sma.9._stddev"
"544","audSpec_Rfilt_sma.9._skewness"
"545","audSpec_Rfilt_sma.9._kurtosis"
"546","audSpec_Rfilt_sma.9._meanSegLen"
"547","audSpec_Rfilt_sma.9._maxSegLen"
"548","audSpec_Rfilt_sma.9._minSegLen"
"549","audSpec_Rfilt_sma.9._segLenStddev"
